Date,HFRXGL_GBP,UKRPI,UKXT,MXWO_GBP,QX6G,QX6I
4-Jan-05,599.6600266,188.9,2544.55,610.2682603,155.44,156.62
1-Feb-05,598.2271762,189.6,2577.03,609.3259023,155.53,156.56
1-Mar-05,592.0158226,190.5,2637.88,614.1466715,154.36,155.01
1-Apr-05,597.635871,191.6,2610.8,609.9771556,155.55,156.18
3-May-05,584.0264201,192,2587.5,595.8678996,157.93,159.31
1-Jun-05,613.0429977,192.2,2679.9,634.9176523,160.76,162.87
1-Jul-05,632.407355,192.2,2763.6,649.4087694,161.82,163.92
1-Aug-05,643.3007183,192.6,2835.04,674.198292,161.06,162.77
1-Sep-05,623.1914082,193.1,2874.86,657.6405168,163.56,166.07
3-Oct-05,657.8974359,193.3,2971.96,695.5954416,162.55,164.35
1-Nov-05,641.7799683,193.6,2888.69,676.8468162,162.43,164.47
1-Dec-05,667.8371354,194.1,2979.03,718.7178747,164.04,166.84
3-Jan-06,670.6677357,193.4,3086.79,733.7647463,165.15,168.36
1-Feb-06,675.2507607,194.2,3153.21,740.775386,164.66,167.9
1-Mar-06,686.2179304,195,3189.42,752.1455917,165.44,168.69
3-Apr-06,698.6603036,196.5,3308.96,772.3896044,164.52,166.48
2-May-06,668.9117199,197.7,3346.3,753.1148076,163.29,164.46
1-Jun-06,650.4904325,198.5,3175.13,713.9518679,163.82,165.08
3-Jul-06,654.7112462,198.5,3258.26,720.7772471,163.78,164.58
1-Aug-06,637.7678286,199.2,3258.51,702.8355186,165.14,166.5
1-Sep-06,634.3446538,200.1,3318.88,716.5870558,166.22,168.28
2-Oct-06,642.7814289,200.4,3327.74,729.0491838,166.38,168.41
1-Nov-06,647.1734689,201.1,3441.1,743.5898779,166.88,169.19
1-Dec-06,634.4016555,202.7,3379.29,733.3518397,167.71,170.29
3-Jan-07,654.7145639,201.6,3548.32,762.8523112,165.92,167.24
1-Feb-07,660.9670531,203.1,3528.64,769.8240797,164.52,165.21
1-Mar-07,657.6644199,204.4,3445.49,756.5002042,166.87,168.33
2-Apr-07,656.4819496,205.4,3585.65,767.6054202,166.21,166.96
2-May-07,667.9113479,206.2,3691.41,796.9896472,165.97,166.28
1-Jun-07,687.1721146,207.3,3811.99,819.8244552,164.91,164.8
2-Jul-07,675.3804968,206.1,3772.75,801.5814784,164.73,164.05
1-Aug-07,656.0885609,207.3,3584.38,765.7220172,167.47,167.14
4-Sep-07,653.1816601,208,3677.23,781.3372411,169.63,169.43
1-Oct-07,651.3286029,208.9,3757.19,806.9977979,171.61,171.22
1-Nov-07,653.0262968,209.7,3810.76,794.7935195,172.88,172.68
3-Dec-07,644.0824822,210.9,3707.01,776.446101,177.04,177.39
2-Jan-08,671.3045234,209.8,3727.1,796.7134491,179.13,179.62
1-Feb-08,666.6276525,211.4,3503.48,756.9894662,180.33,180.28
3-Mar-08,668.1488203,212.1,3394.34,726.8350474,182.01,181.48
1-Apr-08,655.4177843,214,3445.69,742.8311149,184.2,183.21
2-May-08,666.0343866,215.1,3670.12,776.0764822,180.86,179.63
2-Jun-08,675.1512379,216.8,3560.37,770.6725637,178.33,177.45
1-Jul-08,658.6495564,216.5,3257.86,698.0700787,176.57,175.33
1-Aug-08,646.2025316,217.2,3187.02,684.5113924,180.47,180.06
2-Sep-08,705.0507315,218.4,3368.22,744.7446606,184.52,184.84
1-Oct-08,661.4454427,217.7,2977.78,669.2038199,187.15,187.07
3-Nov-08,673.9996207,216,2672.42,607.8070675,188.81,187.14
1-Dec-08,690.3990863,212.9,2461.69,557.8675087,197.57,198.07
2-Jan-09,702.8732472,210.1,2765.27,650.2405829,203.57,206.35
2-Feb-09,722.5042064,211.4,2473.59,581.1062815,201.12,198.49
2-Mar-09,729.7687656,211.3,2216.59,507.8975454,205.64,204.36
1-Apr-09,712.0403649,211.5,2429.94,565.0815593,210.15,211.25
5-May-09,696.1431412,212.8,2673.56,611.3651425,208.25,206.12
